asin,title,brand,price,related,imUrl,salesRank,categories,description,pic_downloaded,boots,sex,image_path
B005IYS5ZA,Bonnibel Bien-1N Brown Women Casual Boots,,17.99,"{'also_viewed': ['B005IYR330','B005IYR2JA','B00CFORLYC','B00EPRB3UU','B00AA8X6IU','B00BPTGZT0','B00CPT2MLE','B00EAO89OG','B00C9JQTK0','B002WV993Y','B009WXB7OO','B0091KWYHC','B007HBY02O','B00F916HFM']}",http://ecx.images-amazon.com/images/I/51YMg47zBNL._SY395_.jpg,{'Shoes': 227798},,,True,True,women,pics_boots/B005IYS5ZA.jpg
B007KHXTXQ,"""MuckBoots Women's Stroll Boot,Black/Fuschia,6 M US Womens""",,,"{'also_viewed': ['B008RKEDZS','B008RKEE02','B002PHLVKY','B000WH4SWM','B000WH4TLM','B000WHBFKK','B000WHDHT2','B002VLYJBM','B00FHVVU8S','B00FPBQ2I8','B000WH4RY6','B000WH647O','B008RKEHDG','B00EFYCHV2','B008YX5SPC','B0053F1I44','B00EY4K9U4','B00E6KD890','B00FFX4LMA','B000WH4S6I','B008RKEDWQ','B00A6AFKMC','B00G1IJQMS','B00BCUFZU2','B000THHRLE','B00BMP41DO','B007KI2B48','B005DJ8F2I','B001IBBO8M']'bought_together': ['B008RKEDZS','B000WH4SWM']}",http://ecx.images-amazon.com/images/I/314KD6aOeVL._SX395_.jpg,{'Shoes': 126724},,,True,True,women,pics_boots/B007KHXTXQ.jpg
B00IA6VTO2,West Blvd Womens LIMA MOCCASIN Boots 3-Layer Fringe Tribal Indian Winter Faux Suede Leather Shoes,,23.99,"{'also_bought': ['B00BTBF338','B00JUAMONC','B00AZR0KF8','B00ASQHH7A','B00HJE9J4I','B00GL9S8SA','B00DU8ONO8','B00EB5Q7RK','B00C3TRENC','B00I0I2IXQ','B00EPRB3UU','B00H4NZTA2','B00989Z6IA','B00C0PIRE4','B00GNCVAB2','B00EXJ0CHU','B00F2L03IG','B009L94IY0','B007QTN2NA','B00E95996I','B0085GQFG4','B007QTN2HQ','B0026MRONG','B008DS0X58','B009B2Y4HS','B00EZDXHGC','B00LPNP628','B00AER2L0Q','B00376HXKE','B00HJE9ID0','B003HE89NG','B00GIPO2CS','B00IOBOGAM','B00DYFT0CC','B00DHAVYIW','B00J2D7QT4','B008MPH6OI','B005IHBBQ2','B00ESYAWW0','B00DPV1RRG','B00E1JOUJS','B0094G8RKQ','B00GIC7G2O','B00CWB98J4','B00E1JPW0E','B005FCTAS6','B009YSL0BM','B00IIJDNDG']'also_viewed': ['B00AZR0KF8','B00JUAMONC','B00ANFNA22','B00ASQHH7A','B009ZXLNYA','B00BGSE5RO','B00FNXAY4G','B0026MRONG','B00BDBHEEK','B00HJE9J4I','B00FE5PLNM','B00GL9S8SA','B00BTBF338','B00HQ762ZW','B00HJE9ID0','B00HJE9EIY','B00GL9OZ5A','B00JFH73P4','B00FNHOSFI','B0027A7UJK','B00BYPZGOU','B001D0OPK2','B00HJE9DZ8','B00HJE9M6S','B00G2X9BZO','B00742F7XM','B00H3A49O8','B00HSZTCEA','B00BQWM0DQ','B003VR9QO0','B003A7AMVC','B0026MRP08','B00ESEM9K8','B00IAGMBDU','B0085JIG72','B00LU1Y6ZS','B00FCEBUL2','B00HLZC9QA','B00GL9P2FM','B00IADBEPE','B00IAGLW30','B00FRR7ZZE','B00KNCBDQK','B0023B2FW0','B00FQT4VUU','B007433WOC','B008JECWTQ','B00CM1GG7G','B0009IY89C','B00E7Y9EHU','B00CMGQ26G','B007USQHRK','B00GNGMK62','B00DU8ONO8','B00BRCBCVG','B0026MRPNU','B0018JLGHI','B00KNCBNK6']'bought_together': ['B00BTBF338','B00JUAMONC','B00EB5Q7RK','B00AZR0KF8']}",http://ecx.images-amazon.com/images/I/41JO6UxMiVL._SY395_.jpg,{'Shoes': 7798},,,True,True,women,pics_boots/B00IA6VTO2.jpg
B0091UELGO,Riverberry Womens Picnic Lace-up Ankle BootsBlackSize 7,,,"{'also_bought': ['B008V1XK8O','B00FBPJWTY','B0078XWK4Q','B008CMKZ26','B007B8XEMU','B005GT8MLO']'bought_together': ['B00FBPJWTY','B0091UDC3W','B008V1XK8O']}",http://ecx.images-amazon.com/images/I/41uJFblrQDL._SY395_.jpg,{'Shoes': 99002},,,True,True,women,pics_boots/B0091UELGO.jpg
B006CB31NO,Womens Knee High Faux Suede Flat Winter Buckle Boots Brown 5.5-10,,42.95,"{'also_bought': ['B006CB9ZUW','B005P4T8RM','B00A4OM0EG','B006CB32EW','B005OL9FQK','B00AWRQSSO','B00EB5Q7RK','B007P9YY06','B00E97K8UW','B007HYFREG','B008CN3Y1O','B00FVS2FU4','B005QBMRUY','B00DR4LUQY','B009YL8OPO','B008X0EW44','B007WADJ7M','B009TCFHZ8','B005NKKIGI','B00HHFBP2S','B00AVPH7RI','B008YU8VM2','B000UJY3VS','B001FKVIVO','B0093W6YLU','B0094G8RKQ','B008G1G71G','B007WAEBPQ','B00BLW2PZY','B00A78Y2UE','B008X1JIRO','B00BXV9KXS','B00BETMSG0','B00CIBCJA8']'also_viewed': ['B005P4T8RM','B005OL9FQK','B00A4OM0EG','B00EU3BAS4','B006CB32EW','B006CB9ZUW','B005P4T4WG','B0092T9TI4','B00EZ8NZM8','B00AWRQSSO','B00F9RV5M6','B005PTAY2A','B009XJKXWE','B005QBN0R8','B003JV71FE','B009SNXFJ8','B00GNGMK62','B00CF5C6HI','B00EZ8EES2','B009TYOKTA','B0052W5XP8','B005P5L4UU','B005QBN1N6','B00A2Y6N32','B00KRNLSKG','B005QAX722','B009ZLINFY','B00EZDXHGC','B008VFIZPS','B008CN3Y1O','B002O2652E','B002POKT7I','B008G1G71G','B0064LRHFU','B005PPCFFI','B00FK8FRT6','B00FQI68PM','B00H3W1UL6','B005P3OST6','B00GN5K09C','B00FVZG3DM','B00AVPH7RI','B00DR4LUQY','B00C16QV2W','B00E97K8UW','B00F0KT2WC','B00EZ8COLG','B005PPANSE','B0091KXI3Q','B00BETMSMY','B00A6Y1TWS','B005KE1ZYG','B00ACDD1RE','B00EB5Q7RK','B005RQY7HE','B0026SFXME','B00COE8ICW','B00EZ88OU6','B00FPBY1LS']'bought_together': ['B005P4T8RM','B006CB9ZUW','B005OL9FQK']}",http://ecx.images-amazon.com/images/I/41HbhnIaFNL._SY395_.jpg,{'Shoes': 61907},,,True,True,women,pics_boots/B006CB31NO.jpg
B00EEIRYFS,El Presidente - Womens Sequin and Leather Cowboy Boots with J-Toe,,149.0,"{'also_viewed': ['B002T1G5AM','B007YZBRHO','B008KCTHZE','B00F3ECKT2','B00EYR6ZR2','B003B3P0TO','B0044QZEE8','B0044QYFM0','B00DS2KJ0S','B003EQ82IE','B005I3VYKY','B002MPR8QU','B00IABZFUQ','B00E255112','B0044QYFO8','B00DWIS2V6','B00498261U','B00JBK0SES','B009K75W1Q','B0078IUBSS','B00D4TJO7E','B005I3VZ3K','B008YTZCE8','B005CMII46','B00HQCGKNG','B00EYQW7J8','B009750B8K']}",http://ecx.images-amazon.com/images/I/51fj8Vu820L._SY395_.jpg,{'Shoes': 386664},,,True,True,women,pics_boots/B00EEIRYFS.jpg
B008RKF84S,"""MuckBoots Women's Breezy Mid Prints Boot""",,,"{'also_bought': ['B008RKEE02','B00BMP41DO','B008RKEHDG','B000WHBFKK','B000WH7G9Y','B00FHVVU8S','B004W7GZNS','B008RKEDZS','B000WH2KCC','B000WH647O','B00BN60WSU','B007KINFI4','B000WH9EBW','B000WH9RN2','B006QIMGRA','B00A6AG3J6','B008RKEI7Q','B000THBJCW','B000WH4SWM','B006JG47Z8','B002VLYIOK','B000WH625S','B001IBBO8M','1580176992','B000A6VNL4','B00ECFXUPG','B001L0EP4K']'also_viewed': ['B008RKEHDG','B000WHBFKK','B00BN60WSU','B00G1IJQMS','B008RKEE02','B009HPCZW0','B003CFB8HO','B00BMP41DO','B008RKEDZS','B00ARXVG7Q','B00ARXVHA2','B00ARXVG8A','B00BN60WVW','B00ARXVHAW','B006BXIPGQ','B007KINFI4','B00ARXVHBG','B006Q92PDE','B005DVZK92','B000WH647O','B00BN60WU8','B00375LSPG','B00F0MV4NU','B008KL6VGS','B00A6AG3J6','B000THHRLE','B004W7GZNS','B0053F1EZC','B000WH7G9Y','B006Q92Q1U','B000WH2KCC','B00FHVVU8S','B00A6AFGHQ','B00ARX51AE','B00ARXVGB2','B009HPCZRA','B008KL6VHC','B00ARXVG6C','B00FHVVV8M','B001IBBO8M','B00ARXVHAM','B006Q92PD4','B00ARXVG6M','B00375LTEG','B008KL6VKE','B000WH4SWM','B000WH4RY6','B004KKZ06U','B00K0EKE2U','B00FMYQZDA','B006QIMG98','B008YX5SPC','B007KHTI6S','B002Z2JXX6']'bought_together': ['B008RKEE02','B000WHBFKK','B00BMP41DO','B000WH2KCC']}",http://ecx.images-amazon.com/images/I/41vM3tJuMyL._SY395_.jpg,{'Shoes': 38305},,,True,True,women,pics_boots/B008RKF84S.jpg
B005SQ5HX6,"""Dolce Vita Women's Carmela Knee High Leather Riding Boots in Black""",,,"{'also_viewed': ['B0084ABDIG','B0084ABH7I','B0084Y1C7Y','B00C7KTIKE','B007T8M40K','B00BXV9KXS','B005UUTNDU','B00C7KTHCI','B0084ABDO0','B00C7KTIO0','B0084ZEVLM','B0084ABDTA','B008BE2MOO','B00EL75MPG','B0081361EM','B00DRAXHQY','B0050TPXNU','B00EL75KQM','B00ETF30MW','B00C7KTGLK']}",http://ecx.images-amazon.com/images/I/41v50Lr3c7L._SY395_.jpg,{'Shoes': 206426},,,True,True,women,pics_boots/B005SQ5HX6.jpg
B00F2JKA2M,Charm Foot Vintage Womens Platform High Heel Ankle Boots Dress Shoes,,36.0,"{'also_bought': ['B00E3DX6AG']'also_viewed': ['B00E3DX6AG','B00ECEQYLO','B00DY64T2C','B00EBC7EAM','B00EBC2FDI','B00DSPPRTI','B00DJU9XEM','B00HX3K318','B00GTPB20W','B00JC4AQR2','B00F3CVMWU','B00G4SLS3A','B00DHLGY36','B00FO4VQO6','B00IKG40IY','B00DL1065E','B00HJ790OO','B00E7TI1F6','B00DQ8Q35Y','B00KFGMABQ','B00D9RDOF4','B00HNQTLL8','B007E5AHGG','B00BZ89Y44','B007E5AHF2','B00DZI0AFO','B00EDPVVPG','B00HKFLCFK','B00IKOZTKY','B00HCLNWDW','B00GYZ0FMI','B00CHRO0M8','B00DUXWX7W','B00FBP3QOG','B00JTYZZT4','B00CWLPP28','B00DJV4A1W','B00EBC4BF8','B00F6Y2ACQ','B00HKFEV26','B00DC6S9C0','B00F2JHMFA','B004ZIONHE','B00G4S7X9I','B00JTZABZG','B00F3BFS3A','B00C6QOCMS','B00GZG6IEA','B00DQ8TJB4','B00C7DRIBC','B00K8SCYK8','B00E5U8FJY','B00J5JZR8C','B00F2JP2CK','B00DSPJQZO','B00F6X45BG','B00K3NAOCS','B00JR5Y8CK','B00JXLIAMC','B00AMWGB3G']'bought_together': ['B00E3DX6AG']}",http://ecx.images-amazon.com/images/I/41MARquzD6L._SY395_.jpg,{'Shoes': 203142},,,True,True,women,pics_boots/B00F2JKA2M.jpg
B008PQL186,"""BLOSSOM BRAND-20 Women's round toe tall boots on kitty heel with ruffled PU upper and knitting top""",,,"{'also_viewed': ['B00919GY7E','B00EPRB3UU']}",http://ecx.images-amazon.com/images/I/41fdg3GBy%2BL.jpg,{'Shoes': 201840},,,True,True,women,pics_boots/B008PQL186.jpg
